,id,tweet,Majority_Sentiment
0,88976690,@username onye ori ka obu,Abuse
1,88976691,"@username this comment is uncalled for. stop preaching such stereotypes.  ndi ugwu na ndi ofe mmanu na ako, e soru fa na ako udi ajambele a ?",Hate
2,88976692,mpa gi wu onye oshi....kupu!!,Abuse
3,88976693,"oloshi ... onye oshi .... barawo rt @username : all i want 4 xmas is- an ipad, iphone 4, a nice car(2009model),a (cont) ##url",Abuse
4,88976694,@username onye iberibe. anu ohia. udele nwuru anwu. otu borehole,Abuse
5,88976695,@username ofe mmanu na ose nnam....nkea atokwam bullshit,Hate
6,88976696,@username ọnụ ọjọọ ndị anambra sha😢,Hate
7,88976697,@username a choro m igba ji isi aki oyibo,Normal
8,88976698,@username nwaanyị ọma ❤️,Normal
9,88976699,jee wish-ie mgbada gi happy new year..... onye mgbu 😂  #australia ##url,Abuse
10,88976700,@username ezigbo nwa onye nzuzu,Abuse
11,88976701,"@username kitikpa agbagbuole nne gi nah, zuzuma, owu peter obi mere amu nna gi ji muo rubbish. udele rikwee ozu gi there.",Abuse
12,88976702,@username lmaooooo onye agwu,Abuse
13,88976703,@username 🤣🤣🤣🤣 onye ori/oshi/ekperima,Abuse
14,88976704,"ngi wa nko......ke inye ibu? ""@username : ndi  asiri gbakute abiago .... welcome o""",Abuse
15,88976705,@username i bu ezigbo ewu!,Abuse
16,88976706,"phyno must deal with that nkita pia mia, aha gi ya bu onye nshi. i ga ada pia. onye oshi",Abuse
17,88976707,"@username ọ bụ ihere ji ya. ọ bụ otu a ka nkịta si eme ma ha rụọ ala. n'ezie, o debere ọnụ ka nkakwụ 😂",Abuse
18,88976708,"@username ashawo, na so u get house for all the happening states... onye ọgwụ!",Abuse
19,88976709,"#igboproverbfriday @username nkata ga-ekpudo onye aghụghọ.   ọchụ nwa ọkụkọ nwe ada.   ọkụkọ bere n'ngige, ọkụkọ na egwu ngige na egwu.",Normal
20,88976710,"@username nnama, anu mpama, onye iberibe dika gi... anu nkita",Abuse
21,88976711,@username onye iberibe. anu mpama. ezi ohia. chukwu kpooo gi oku,Abuse
22,88976712,"@username onye aghụghọ nwụọ, onye aghụghọ e lie ya. (con man die, con man bury am)",Normal
23,88976713,epl aside today...vote peter gregory onwubuasi obi okwute ! ! !,Normal
24,88976714,only one reply from vector everything abọye ka ike ọkụkọ. ##url,Normal
25,88976715,@username agadi zụkwanụ ike,Abuse
26,88976716,@username ha dị anyaukwu mana ha mara mma nke ukwuu na nnukwu isi,Abuse
27,88976717,@username rie nsi.. onye bu nna gi,Abuse
28,88976718,"@username huh your fada. ezi ofia, obogwu ugbo, anumanu, nkita ara, ekwensu kpo gi okwu dia.",Abuse
29,88976719,"nwanne, pia the otele some smashing jor ##url",Abuse
30,88976720,@username ezi bida… anu ohia,Abuse
31,88976721,@username hehehe. some peeps don't have chill. people just jump into any tl to sub... i don't. i only fuck with people i know and interact with before ofu onye iberibe ejirim wee chakee ka ugo na twitter. i only sub when i am ready to fight to death. ọnụ ọjọọ dị here dị too much.,Abuse
32,88976722,"okotorigba!! nya, nkịta ara bụ onye igbo? ekwensu e romancia mamiwater. kedu onye ma obodo nwa? ka'm jee gosi ndị umuada ife ọ na ezuzu na app a. ##url",Abuse
33,88976723,"@username thunder fire you and your ashawo mama. your papa na 🐐. onye efulefu, kitikpa gbagbuo gi there.",Abuse
34,88976724,@username chineke nna gba gbuo gi ma gba gbuo nne gi na nna gi there ofeke make that ipob struggle you to death there fool,Abuse
35,88976725,@username ara gbachiekwa gi onu dia...onye iberibe..god will put u all to shame! ndi ara,Abuse
36,88976726,@username ọkụrụ the man k'onye ori ọkụkọ 😹😹😹😹,Abuse
38,88976728,anyi afugo ka uche gi ra this morning. anuofia. mkpi na agbara oha. chi fote i na achoghari ikpu na twitter. ezi bida. o di ka isi adiro gi mma. chorokwa umu ogbo gi o before mpiawa gi azu. imbe. ##url,Abuse
39,88976729,"killing the beat with vj adams, ejim mma e ji egbu anu bia bring the beat m bute ndi apams, anyi ga e bu igbe ozu laa @username ##url",Normal
40,88976730,@username lekwanu isi ewu congo a..... i yield back! 😎,Abuse
41,88976731,@username mumu man don talk another mumu talk!  onye ori,Abuse
42,88976732,@username ezigbote onye mgbu,Abuse
43,88976733,@username seee eehhh dont let me visit my village shrine cos of u !!! negodu anu nchi aa o🙄🙄 yenyenyen ..usu !!!!onukwube like u.😈,Abuse
44,88976734,@username nna gi na nne gi insane. ozu,Abuse
45,88976735,@username onye mgbu ka obu,Abuse
46,88976736,"@username ezi bida. anu mpama,  ozu nne na nna gi nwurukwa dere. zombie",Abuse
47,88976737,"...and this benz was dragging road with an okada man in awka... okada man come call the benz man ""onye ọgwụ ego"", baba come wind down his car glass and called him ""onye ọgwụ ubiam"" 😂",Abuse
48,88976738,@username ndi ara ndi ara onye iberibe giving this bigot igbo title. chukwu kpo kwa unu nile oku.,Abuse
49,88976739,"@username nna, i know someone that met his brother, his aunt. his parents are late. infact she was partially overseeing his building project  na ""obi be nna ya"" but dude has been married for 4 years with a daughter..  rapu okwu. ekwensu chọọ ịkpọ mmadụ ọkụ, ọ naghị eme ebere.",Normal
50,88976740,daalụ nwaanyị ọma!!! ##url,Normal
51,88976741,@username what is this? ndị ofe mmanụ unu bụ ndị afọ njọ! akịrị throughout! ##url,Hate
52,88976742,"@username udele, ewu awusa...",Abuse
53,88976743,"ezi nwanyi dị ụkọ. ihe dị mma ka chineke ne nyé.... gbazaa queen  ome kọ ó marọ ife , mana oji kwa aguba. samson nụrụ ajọ nwanyị wee nwụọ.",Abuse
54,88976744,"ọkụ gbara mbe na efe igwe, jide ọkụkọ na ugbene ọ ma emere ya ebele  (the fire that consumed the tortoise with its iron shirt will habour no mercy for the fowl that has feathers) #factevening #iluigbo @username ",Normal
55,88976745,"there's nothing igbos won't receive ... arichakwa ndi ugwu , richakwa oba ji ndi ofe mmanu  na onye si na obu... ##url",Hate
56,88976746,@username 😂😀😁mkpi. obi okwute.,Abuse
57,88976747,hahahaha. onye agwu rt @username : @username ur just shy to say u love him :p *chicken*,Abuse
