id,tweet,label
88976690,@username onye ori ka obu,Offensive
88976691,"@username this comment is uncalled for. stop preaching such stereotypes.  ndi ugwu na ndi ofe mmanu na ako, e soru fa na ako udi ajambele a ?",Hate
88976692,mpa gi wu onye oshi....kupu!!,Offensive
88976693,"oloshi ... onye oshi .... barawo rt @username : all i want 4 xmas is- an ipad, iphone 4, a nice car(2009model),a (cont) ##url",Offensive
88976694,@username onye iberibe. anu ohia. udele nwuru anwu. otu borehole,Offensive
88976695,@username ofe mmanu na ose nnam....nkea atokwam bullshit,Hate
88976696,@username ọnụ ọjọọ ndị anambra sha😢,Hate
88976697,@username a choro m igba ji isi aki oyibo,Normal
88976698,@username nwaanyị ọma ❤️,Normal
88976699,jee wish-ie mgbada gi happy new year..... onye mgbu 😂  #australia ##url,Offensive
88976700,@username ezigbo nwa onye nzuzu,Offensive
88976701,"@username kitikpa agbagbuole nne gi nah, zuzuma, owu peter obi mere amu nna gi ji muo rubbish. udele rikwee ozu gi there.",Offensive
88976702,@username lmaooooo onye agwu,Offensive
88976703,@username 🤣🤣🤣🤣 onye ori/oshi/ekperima,Offensive
88976704,"ngi wa nko......ke inye ibu? ""@username : ndi  asiri gbakute abiago .... welcome o""",Offensive
88976705,@username i bu ezigbo ewu!,Offensive
88976706,"phyno must deal with that nkita pia mia, aha gi ya bu onye nshi. i ga ada pia. onye oshi",Offensive
88976707,"@username ọ bụ ihere ji ya. ọ bụ otu a ka nkịta si eme ma ha rụọ ala. n'ezie, o debere ọnụ ka nkakwụ 😂",Offensive
88976708,"@username ashawo, na so u get house for all the happening states... onye ọgwụ!",Offensive
88976709,"#igboproverbfriday @username nkata ga-ekpudo onye aghụghọ.   ọchụ nwa ọkụkọ nwe ada.   ọkụkọ bere n'ngige, ọkụkọ na egwu ngige na egwu.",Normal
88976710,"@username nnama, anu mpama, onye iberibe dika gi... anu nkita",Offensive
88976711,@username onye iberibe. anu mpama. ezi ohia. chukwu kpooo gi oku,Offensive
88976712,"@username onye aghụghọ nwụọ, onye aghụghọ e lie ya. (con man die, con man bury am)",Normal
88976713,epl aside today...vote peter gregory onwubuasi obi okwute ! ! !,Normal
88976714,only one reply from vector everything abọye ka ike ọkụkọ. ##url,Normal
88976715,@username agadi zụkwanụ ike,Offensive
88976716,@username ha dị anyaukwu mana ha mara mma nke ukwuu na nnukwu isi,Offensive
88976717,@username rie nsi.. onye bu nna gi,Offensive
88976718,"@username huh your fada. ezi ofia, obogwu ugbo, anumanu, nkita ara, ekwensu kpo gi okwu dia.",Offensive
88976719,"nwanne, pia the otele some smashing jor ##url",Offensive
88976720,@username ezi bida… anu ohia,Offensive
88976721,@username hehehe. some peeps don't have chill. people just jump into any tl to sub... i don't. i only fuck with people i know and interact with before ofu onye iberibe ejirim wee chakee ka ugo na twitter. i only sub when i am ready to fight to death. ọnụ ọjọọ dị here dị too much.,Offensive
88976722,"okotorigba!! nya, nkịta ara bụ onye igbo? ekwensu e romancia mamiwater. kedu onye ma obodo nwa? ka'm jee gosi ndị umuada ife ọ na ezuzu na app a. ##url",Offensive
88976723,"@username thunder fire you and your ashawo mama. your papa na 🐐. onye efulefu, kitikpa gbagbuo gi there.",Offensive
88976724,@username chineke nna gba gbuo gi ma gba gbuo nne gi na nna gi there ofeke make that ipob struggle you to death there fool,Offensive
88976725,@username ara gbachiekwa gi onu dia...onye iberibe..god will put u all to shame! ndi ara,Offensive
88976726,@username ọkụrụ the man k'onye ori ọkụkọ 😹😹😹😹,Offensive
