Unnamed: 0,id,tweet,Majority_Sentiment
2403,89976861,@username ewu kor ehi,Normal
1918,89792160,@username but isn't bat ụsụ?,Normal
510,89791745,"@username chelsea otu - abụọ liverpool  ọ dị mma   ka anyị na agba mbọ itule mkpebi ndị ụlọ ikpe   nwoke a obi tara mmiri muhammadu ntị anụ ihe salah enwe gwa ndị oti mkpu ya ka ha bulie ụtụ ngwa ahịa, ka ihe nwere sie re anyị ike.",Normal
2349,89976807,idris debt leading from the front unlike our own 'osisi kpọrọ nkụ'. ##url,Normal
1846,89792087,"isi ewu isi nkita ""@username : nwa ochicha!!!! ""@username : @username please forgive me my sins bro.""""",Abuse
2038,89976496,@username ụmụ enwe na-asị na onye na-ekwe eziokwu nwere ọnụ ọjọọ.,Abuse
2799,89977258,hehehehe rt @username : onye nzuzu . rt @username : rie nsi onye ala rt @username : @username rie nsi biko.,Abuse
2627,89977085,@username nna i bụ ụchụ. lower class citizen when it comes to your culture but you are obeying european culture. efulefu. jee jụọ ase ma nna gị kwụrụ ụgwọ n'isi nne gị maka na agwa gị yiri nke ndị ugwu. ofeke amaghị ụbọchị ekere nkụ ụkwa.,Hate
519,89791754,"@username nwanne, ubochi udele ga-agbokota na abia ngwa ngwa. n'ubọchi ahu, i gākọwa umu-nne-gi otú i si rere nwa-nne-gi.",Normal
763,89791998,so my jokes or laughs about the 'unknown gunmen' is why the entire 5 south east governors are acting like atụrụ na enwe ọzụzụ atụrụ or why buhari onye mgbu is unfortunate with security matters?  dị anyị ko akụkọ bara uru. ##url,Abuse
574,89791809,"ọ kwa mmadụ ka a na-agwọrọ isi ewu, ọ na-eche?",Normal
2253,89976711,"rie nsi biko ala mmadu""@username : nna gi there ""@username : so iyke goat stll dey alive wow""""",Abuse
2314,89976772,"@username otu nne gị, atụrụ ọhịa",Abuse
1613,89791854,@username iwu anu mpama. ezigbote onye nzuzu ... onye ara..ozu nwurunanwu. you sef blocked!,Abuse
2657,89977115,just missing you guys so much long   ngwa ndi usa kwube nu👅👄 — eating lunch,Abuse
1660,89791901,nkita la cha gi amu rie nsi,Abuse
1543,89791784,"@username eriri eri ogbuogi dia, onye iberibe,  itiboribo dika gi, taa gbafue, ewu nt'ike...mchew",Abuse
1265,89790836,@username eji ntị anụ ihe ọ wụghị anya!,Normal
2893,89977352,@username ndị ile agwọ /snake tongue,Abuse
359,88977052,@username i bụ ezigbo onye mgbu.,Abuse
2461,89976919,ndi usa juru ebe nile 🥱🥱 ##url,Abuse
1741,89791982,kitikpa gbagbuo gi there ##url,Abuse
1571,89791812,@username okenye na agwọ ofe.. onye iberibe 🤣🤣,Abuse
260,88976951,bakayoko eze ule,Abuse
2953,89977412,@username obi afuwuo ndi ofe mmanu and their counterparts from the futa jalon mountain  ndi eriri eri,Hate
1053,89790622,@username ndị ofe mmanụ 😂😂,Hate
2379,89976837,@username hahahha... onukwu. onye iberibe,Abuse
1687,89791928,@username onye iberibe ka i bu!,Abuse
1215,89790786,@username as if english bụ asụsụ ndị nna na nne gị mpama,Abuse
2425,89976883,@username kitikpa gbagbuo gi there 😂.. anu!!!,Abuse
1937,89792179,"@username di anyi, ijero mgbada?",Normal
1810,89792051,@username get out.. onye mgbu,Abuse
1744,89791985,"anụ ọhịa nwụrụ anwụ, ezi bida, mkpi. ##url",Abuse
2701,89977159,onye oshi rt @username : i wish i tuk it sef... ( ˘˘̯),Abuse
2311,89976769,"@username herro ada nwaanyi, ewela iwe mana e'neediri m your guidance and counselling na ndu m a ugbua ihotagho. bikonu kedu ka m ga esi nwete ife a? anyi ga ekwurita na ulo oru gi ka obu na inwe ulo ogwu ebe ina nyelu ndi ara dika m aka? treat as urgent, ife a di ezigbo mkpa ma chi 🙂",Normal
457,88977150,@username lmao. onye agwu,Abuse
463,88977156,"@username ara agbala onye oshi mandate, dem come carry am go abroad for check up.",Abuse
2210,89976668,"gba fuo gi onye ime ezi ""@username : @username wawu. genre? music? tell me more prof.""",Abuse
672,89791907,idiot you are very very stupid ezi ohia onukwu illiterate big for nothing fool chineke kpo gi na simon ekperima onye oshi oku ##url,Abuse
382,88977075,"hahaha.... onye ime ezi""@username : i miss this okpa woman :(""",Abuse
2118,89976576,@username onye oshi 😂😂😂😂😂,Abuse
1917,89792159,"@username anụ ọhịa whether old or new, did it happened or not atụrụ gambia",Abuse
2635,89977093,"rt @username : rt @username : o kwa nwa nza buwe, o dika o ga-aka nne ya! #igbo #tweetigbo",Normal
2919,89977378,"chai! :( okwa eziokwu ""@username : ma nna ya bu homo :( rt geokaycee: @username okwa nne gi na bua ashawo",Abuse
2754,89977212,that nwa akpuda eze ule be doing too much.  esther biko rest inugo🤣🤣🤣🤣,Abuse
2511,89976969,@username nne gi na nna gi enwero isi. ezi bida,Abuse
796,89792031,onye ori 🤣🤣🤣🤣 ##url,Abuse
1795,89792036,"@username someone who went to marist,why won't you survive,i bu onye mgbu?",Abuse
953,89792189,"@username ga-agwa ha, ihe kacha njọ ha nwere ike ime bụ ikwekọrịta .. ma mgbe ahụ, ị ​​gaghị enwe ike ịgwa ma ha achọghị ịma ma ọ bụrụ na nwoke gị si n'ebe ọwụwa anyanwụ .. ndị rom 10:12 n'ihi na ọdịiche adịghị n'etiti onye juu na onye grik; n’ihi na otu onye-nwe bụ",Normal
2346,89976804,@username onye iberibe! efulefu!,Abuse
2534,89976992,lmao. why u no lock comment section. agadi na agwo ofe ##url,Abuse
2643,89977101,@username you can't do more than ji a gwọrọ agwọ,Normal
543,89791778,"@username ijuta isi nkita, i ya iji agba ya me gini #igboproverbfriday",Normal
1225,89790796,@username dey don sell screenshot give eminem  onye mgbu😂😂😂😂,Abuse
1140,89790709,@username onye ohi nwa mmuo. babiyallah onye ohi nwuru anwu. nobody will contribute to your criminal franchise. idiotu nwuru anwu...onye ekpenta. you no go ever d!e better. enikure o🖐🏿🤬😡🤡.,Abuse
1723,89791964,"i wu 'ndi ? '""@username : :( oh maka na nfuru gi na anya? nya meh ki jia asi na mbu onye nzuzu? ""@username : ndi nzuzu.""""",Abuse
697,89791932,"@username nwannem udo dị. i puru epu, mịa amịa na asụsụ nakwa omenala igbo. odogwu ma ókẹ̀ ala nna ya, mesibe ihe ike na nna gị mụsịrị gị ike.",Normal
2406,89976864,@username nna hapụ ndị ofe mmanụ. ndị ịmakwa na eziokwu adịghị ha na ọnụ.,Hate
2036,89976494,"imalu ife i ga emelu nna gi na nne mulu gi, melu fa na ndu ka ha fu n’anya. oburo mgbe ha nwusili, ikpo ba ndi apams ka ha bu be ozu, bute cooling van na asi onye obuna libe olili.😒",Normal
2162,89976620,negodi nnọọ ka ụmụ nwanyị ndị ugwu jị asụsụ hausa na eme mpako na ngara. ndị nke ọdịda anyanwụ ejiri poorly combined tenses a form ihe mmadụ amaghị isi ya  ike gwụrụ,Hate
1953,89792195,@username ifurozi 😏  ọnụ ọjọọ,Abuse
2879,89977338,"putin: dị anyị esọ ndị usa alụsọm ọgụ kọ na esọghi ha? macron: mpa nwere nwanyo nụ, ịchọrọ ịtịsa ụwa nkea na atọ gwọ gwọ? putin: mgbe ọzọ ịga akpọ mụ na ekwentị, achọrọ m ịma ebe esọ. macron: 👇👇👇👇👇 ##url",Normal
1354,89790925,@username onye ọgwụ ike! 🤣,Abuse
2429,89976887,arteta is a stubborn goat. ewu awusa,Abuse
2405,89976863,"@username ##url  energy queen, ogbeni wild udele one isi ndi gentleness oya coman use ur power elsewhere... no be only kobo kobo biz we go dey see u, come this way onye iberibe",Abuse
2323,89976781,otu mbekwu ike na-agba ọsọ karịa a oke bekee ma na e nwere oké mmiri ozuzo na-eru nso. ka ọ na emi ntị anụ ihe.,Normal
1773,89792014,@username asp rock kill you there onye mgbu,Abuse
436,88977129,"desmond elliot bu onye nzuzu, zunzun't he? desmond eliliotu. ##url",Abuse
2719,89977177,ọkụkọ na-akpa na ngwuru onye ohi nọ ite ofe nso.  a fowl that moves round the compound of a thief is closer to the  pot.  (don't play with your life)  #ilualaigbo #iluigbo #igboproverbs ##url,Normal
238,88976928,@username but they deserve apc and tinubu?  onye nzuzu. onye ara. onye apari. ewu,Abuse
941,89792177,@username bobo nnukwu isi,Abuse
110,88976800,"bakin duri ""@username : anu""cino: ekpo ""@username : pa zuzu""_cino: unam ikot "": nke nna gi""cino: bura ""z: ofeke"" ebot ""zz: nna gi ana afubu """,Abuse
2016,89976474,"egbe belu ugo belu. nke si ibe ya ebena, kitikpa na enwero nne na nna gba ya pieces! now that… ##url",Abuse
164,88976854,"utu ọcha come and speak english again... coward that cannot troll with his chest. how is your conscience now? that conscience sha kuwa gị isi there, onye arụrụala ##url",Abuse
2116,89976574,eziokwu nnam! @username : enugu should be calm. enugu is calm. imo should be calm. anambara too. abia. ebonyi. ndi igbo abughi ndi ogbu ochu,Normal
253,88976943,@username onwa enwelugo ewu gi jee chuo nwanyi ukwu three bedroom apartment without parlour.. so chefue your goat nah only my fowl remain 😏😏,Normal
2686,89977144,"@username enweghi ihe dika ajo nwa mana ihe enwere bu ajo nne na nna. n’ihi na nwatakiri bu kwa ihe an’azu azu, nke putara na nwatakiri n’azutaghi nke oma gabukwa dika “ajoo nwa” nkea bukwa ntunye nkem",Normal
1516,89791757,@username ozu otu gbagbuo nne gi there mkpi,Abuse
2975,89977434,"onye juu gi?""@username : @username ajuju!!!""",Normal
1772,89792013,"@username chineke ga akpo hope uzodimma oku. udele ga eri ozu ya. mpu nile ajo nwoke a mere na imo state ga na eso ya na ndi be ya rue mgbe ebigi ebi. isee, isee, isee.",Abuse
2291,89976749,"ọtụtụ ọma ụmụ nnem ná ụmụ nnam.... asị nọ ụbọsị ta kà ànyị ná abanye ife ndị oyibo ná akpọ ""next level"" nexe level nkà ga ewetelu anyị bụ ndị ndị ịgbọ ife ọma siite nà ụbọsị tata wa rukwe mgbe nyabu nwa ama dị ònye afọ njọ ọ nke ọchịchị nigeria",Normal
1396,89790967,"@username olodo, oloshi, onye ara, isi nkita, isi ewu, okuko, isi adiro gi n'ma. rubbish",Abuse
